ERA,LAUNCH_YEAR,PRODUCT_NAME,CATEGORY,PRODUCT_TYPE,SHADE_CODE,SHADE_NAME,PAN_NUMBER,SHADE_DESCRIPTION,FINISH,FINISH_GROUP,COLOR_FAMILY,SHADE_DEPTH_ORDER,SHADE_DEPTH_GROUP,UNDERTONE_INFERRED_CMYK,UNDERTONE_CONFIDENCE,SHADE_FUNCTION,C_PCT,M_PCT,Y_PCT,K_PCT,COLOR_VALUE_SOURCE,IS_OOS,OOS_CAPTURE_DATE,SOURCE_URL
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,260,You Up?,,Pink Glitter,Metallic,metallic_shimmer,pink,,,unknown,low,color_cosmetic,0,64,36,4,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,270,Unhinged,,Turquoise Glitter,Metallic,metallic_shimmer,blue,,,unknown,low,color_cosmetic,50,11,0,10,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,300,So Tea,,Bronze Duochrome,Duochrome,duochrome,multi_duochrome,,,unknown,low,color_cosmetic,0,40,48,36,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,240,No Cap,,Metallic Emerald,Metallic,metallic_shimmer,green,,,unknown,low,color_cosmetic,55,0,17,57,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,280,Hmu,,Ultra Black Glitter,Metallic,metallic_shimmer,black_gray,,,unknown,low,color_cosmetic,0,0,0,81,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,220,Do Better,,Metallic Copper,Metallic,metallic_shimmer,gold_bronze,,,unknown,low,color_cosmetic,0,34,51,36,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,290,Delulu,,Lilac Duochrome,Metallic,metallic_shimmer,multi_duochrome,,,unknown,low,color_cosmetic,7,13,0,4,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,250,Booboo,,Metallic Teal,Metallic,metallic_shimmer,blue,,,unknown,low,color_cosmetic,84,31,0,52,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,210,Blocked,,Metallic Gold,Metallic,metallic_shimmer,gold_bronze,,,unknown,low,color_cosmetic,0,16,32,7,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,230,Big Flex,,Metallic Silver,Metallic,metallic_shimmer,white_silver,,,unknown,low,color_cosmetic,0,0,0,9,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,160,You Wish,,Matte Chocolate Brown,Matte,matte,brown,,,unknown,low,color_cosmetic,0,38,45,73,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,170,Try Me,,Matte Olive Green,Matte,matte,green,,,unknown,low,color_cosmetic,3,0,18,64,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,130,Take Notes,,Matte Electric Blue,Matte,matte,blue,,,unknown,low,color_cosmetic,82,66,0,32,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,100,Salty,,Matte White,Matte,matte,white_silver,,,unknown,low,color_cosmetic,0,0,1,4,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,110,Nude Attitude,,Matte Peach,Matte,matte,coral_orange,,,unknown,low,color_cosmetic,0,14,22,5,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,150,Not Playing,,Matte Eggplant,Matte,matte,purple,,,unknown,low,color_cosmetic,0,39,12,74,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,200,No Shade,,Matte Ultra Black,Matte,matte,black_gray,,,unknown,low,color_cosmetic,2,2,0,82,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,120,Hot Take,,Daisy Yellow,Matte,matte,yellow,,,unknown,low,color_cosmetic,0,11,45,0,converted_from_rgb,TRUE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,190,Hit It,,Matte Navy Blue,Matte,matte,blue,,,unknown,low,color_cosmetic,47,34,0,63,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,180,Gagged,,Matte Charcoal Grey,Matte,matte,black_gray,,,unknown,low,color_cosmetic,0,0,0,74,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,140,Facts,,Matte Burgundy,Matte,matte,berry_plum,,,unknown,low,color_cosmetic,0,68,43,61,converted_from_rgb,TRUE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,100,On Brand,,Nude,Matte,matte,nude,,,unknown,low,color_cosmetic,0,34,44,27,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,130,Hater,,Chocolate Brown,Matte,matte,brown,,,unknown,low,color_cosmetic,0,35,44,58,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,120,Delete That,,Burgundy,Matte,matte,berry_plum,,,unknown,low,color_cosmetic,0,49,50,54,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,110,Act Natural,,Cinnamon,Matte,matte,brown,,,unknown,low,color_cosmetic,0,42,63,43,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,180,Zero Chill,,Metallic Silver,Metallic,metallic_shimmer,white_silver,,,unknown,low,color_cosmetic,1,2,0,15,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,170,That's Cute,,Metallic Hot Pink,Metallic,metallic_shimmer,pink,,,unknown,low,color_cosmetic,0,56,35,11,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,150,Spicy,,Metallic Copper,Metallic,metallic_shimmer,gold_bronze,,,unknown,low,color_cosmetic,0,34,51,24,converted_from_rgb,TRUE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,140,Shady,,Metallic Champagne,Metallic,metallic_shimmer,gold_bronze,,,unknown,low,color_cosmetic,0,13,16,7,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,230,Serving,,Pinky Nude with Iridescent Pearl,Metallic,metallic_shimmer,nude,,,unknown,low,color_cosmetic,0,27,24,28,converted_from_rgb,TRUE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,200,Out Late,,Metallic Black,Metallic,metallic_shimmer,black_gray,,,unknown,low,color_cosmetic,5,5,0,69,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,220,Mood Swing,,Blue and Purple,Duochrome,duochrome,multi_duochrome,,,unknown,low,color_cosmetic,7,28,0,40,converted_from_rgb,TRUE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,190,Extra,,Metallic Gold,Metallic,metallic_shimmer,gold_bronze,,,unknown,low,color_cosmetic,0,14,54,9,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,210,Clapback,,Pink and Bronze Duochrome,Duochrome,duochrome,multi_duochrome,,,unknown,low,color_cosmetic,0,45,43,31,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,160,Cancelled,,Green,Metallic,metallic_shimmer,green,,,unknown,low,color_cosmetic,2,0,32,23,converted_from_rgb,TRUE,2026-06-26,mjb_2026.txt
revival,2026,Flashes Mascara,Eyes,Mascara,2,Cocoa,,Cocoa,n/a,none_na,brown,,,unknown,low,color_cosmetic,0,26,36,57,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Flashes Mascara,Eyes,Mascara,3,Indigo,,Indigo,n/a,none_na,blue,,,unknown,low,color_cosmetic,89,70,0,59,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Flashes Mascara,Eyes,Mascara,1,Onyx,,Onyx,n/a,none_na,black_gray,,,unknown,low,color_cosmetic,17,22,0,93,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,601,That's Hot,,Intense Pop Pink,High Shine,shine_gloss,pink,,,unknown,low,color_cosmetic,0,65,29,1,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,600,Pop Off,,Bright Electric Purple,High Shine,shine_gloss,purple,,,unknown,low,color_cosmetic,0,65,1,41,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,400,On Red,,Blue Intense Red,High Shine,shine_gloss,red,,,unknown,low,color_cosmetic,0,86,77,19,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,107,Mutuals Only,,Deep Warm Brown,High Shine,shine_gloss,brown,,,unknown,low,color_cosmetic,0,49,56,39,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,500,Mauve On,,Cool Purple Pink,High Shine,shine_gloss,berry_plum,,,unknown,low,color_cosmetic,0,53,45,27,converted_from_rgb,TRUE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,101,Love Muscle,,Cool Fair Beige,High Shine,shine_gloss,nude,,,unknown,low,color_cosmetic,0,36,32,5,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,200,Love Drunk,,Soft Nude Pink,High Shine,shine_gloss,pink,,,unknown,low,color_cosmetic,0,53,50,4,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,102,Lips Don't Lie,,Cool Light Brown Beige,High Shine,shine_gloss,nude,,,unknown,low,color_cosmetic,0,37,38,29,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,105,Kinky Business,,Warm Brown,High Shine,shine_gloss,brown,,,unknown,low,color_cosmetic,0,46,42,36,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,301,Hot Blooded,,True Warm Orange,High Shine,shine_gloss,coral_orange,,,unknown,low,color_cosmetic,0,63,67,20,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,202,Hot & Bothered,,Mauvy Deep Pink,High Shine,shine_gloss,pink,,,unknown,low,color_cosmetic,0,70,55,14,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,201,Heart Attack,,Fresh Vibrant Pink,High Shine,shine_gloss,pink,,,unknown,low,color_cosmetic,0,78,60,6,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,108,Heart & Fast,,Deep Chocolate Brown,High Shine,shine_gloss,brown,,,unknown,low,color_cosmetic,0,62,59,36,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,501,Haute & Naughty,,Deep Bright Plum,High Shine,shine_gloss,berry_plum,,,unknown,low,color_cosmetic,0,73,41,37,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,300,Fully Loaded,,Soft Orange Coral,High Shine,shine_gloss,coral_orange,,,unknown,low,color_cosmetic,0,69,64,15,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,104,Eat It Up,,Cool Medium Beige,High Shine,shine_gloss,nude,,,unknown,low,color_cosmetic,0,43,42,29,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,109,Burning Up,,Deep Dark Brown,High Shine,shine_gloss,brown,,,unknown,low,color_cosmetic,0,58,57,56,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,106,Burning Desire,,Yellow Brown,High Shine,shine_gloss,brown,,,unknown,low,color_cosmetic,0,44,50,26,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,103,Booty Call,,Warm Maroon Beige,High Shine,shine_gloss,nude,,,unknown,low,color_cosmetic,0,47,53,15,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Heart On Lipstick,Lips,Lipstick,100,Blow Stick,,Warm Fair Beige,High Shine,shine_gloss,nude,,,unknown,low,color_cosmetic,0,27,38,5,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Joystick Blush,Face,Blush,113,Twin Cheeks,,Deep Pink Nude,Natural,natural,pink,,,unknown,low,color_cosmetic,0,69,53,15,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Joystick Blush,Face,Blush,112,Shady Business,,Rosewood Nude,Natural,natural,nude,,,unknown,low,color_cosmetic,0,57,53,18,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Joystick Blush,Face,Blush,111,Self Centered,,Mauvy Nude,Natural,natural,nude,,,unknown,low,color_cosmetic,0,45,41,14,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Joystick Blush,Face,Blush,511,Pink Kink,,Intense Fuchsia,Natural,natural,pink,,,unknown,low,color_cosmetic,0,74,49,1,converted_from_rgb,TRUE,2026-06-26,mjb_2026.txt
revival,2026,Joystick Blush,Face,Blush,210,Papa Don't Peach,,Vibrant Coral,Natural,natural,coral_orange,,,unknown,low,color_cosmetic,0,50,66,0,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Joystick Blush,Face,Blush,510,Last Word,,Vibrant Lilac,Natural,natural,purple,,,unknown,low,color_cosmetic,0,49,15,24,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Joystick Blush,Face,Blush,110,Hot Flush,,Vibrant Fresh Pink,Natural,natural,pink,,,unknown,low,color_cosmetic,0,36,24,1,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Joystick Blush,Face,Blush,410,Freaks & Cheeks,,Deep Plum,Natural,natural,berry_plum,,,unknown,low,color_cosmetic,0,75,50,35,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Joystick Blush,Face,Blush,310,Cherry Tease,,Deep Blue Red,Natural,natural,red,,,unknown,low,color_cosmetic,0,85,69,42,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Joystick Blush,Face,Blush,211,"Attention, Please",,True Orange,Natural,natural,coral_orange,,,unknown,low,color_cosmetic,0,66,83,1,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Legally Bronze Bronzer,Face,Bronzer,10,Fair,,Fair,Natural,natural,brown,1,fair,golden_warm,low,bronzer,0,27,43,23,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Legally Bronze Bronzer,Face,Bronzer,15,Light,,Light,Natural,natural,brown,2,light,golden_warm,low,bronzer,0,34,52,25,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Legally Bronze Bronzer,Face,Bronzer,20,Light Medium,,Light Medium,Natural,natural,brown,3,light_medium,golden_warm,low,bronzer,0,34,54,33,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Legally Bronze Bronzer,Face,Bronzer,25,Light Medium Plus,,Light Medium Plus,Natural,natural,brown,4,light_medium,golden_warm,low,bronzer,0,36,54,34,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Legally Bronze Bronzer,Face,Bronzer,30,Medium,,Medium,Natural,natural,brown,5,medium,golden_warm,low,bronzer,0,38,57,40,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Legally Bronze Bronzer,Face,Bronzer,35,Medium Plus,,Medium Plus,Natural,natural,brown,6,medium,golden_warm,low,bronzer,0,36,51,40,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Legally Bronze Bronzer,Face,Bronzer,40,Medium Deep,,Medium Deep,Natural,natural,brown,7,medium_deep,golden_warm,low,bronzer,0,40,53,56,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Legally Bronze Bronzer,Face,Bronzer,45,Medium Deep Plus,,Medium Deep Plus,Natural,natural,brown,8,medium_deep,golden_warm,low,bronzer,0,39,50,71,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Legally Bronze Bronzer,Face,Bronzer,50,Deep,,Deep,Natural,natural,brown,9,deep,golden_warm,low,bronzer,0,28,39,72,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Money Shot Highlighter,Face,Highlighter,1,one,,one,Shimmer,metallic_shimmer,white_silver,,,unknown,low,highlighter,5,7,0,7,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
original_launch,2013,Remedy Concealer Pen,Face,Concealer,0,Stand Corrected,,Stand Corrected,Dewy,natural,nude,1,corrector,neutral_warm,low,corrector,0,13,16,11,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Remedy Concealer Pen,Face,Concealer,0,Bright Idea,,Bright Idea,Dewy,natural,nude,2,brightener,neutral_warm,low,brightener,0,6,11,10,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Remedy Concealer Pen,Face,Concealer,1,Rendezvous,,Rendezvous,Dewy,natural,nude,3,fair,neutral_warm,low,skin_tone,0,10,16,12,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Remedy Concealer Pen,Face,Concealer,2,Wake-Up Call,,Wake-Up Call,Dewy,natural,nude,4,light,neutral_warm,low,skin_tone,0,11,18,11,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Remedy Concealer Pen,Face,Concealer,3,Up All Night,,Up All Night,Dewy,natural,nude,5,light_medium,golden_warm,low,skin_tone,0,12,22,15,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Remedy Concealer Pen,Face,Concealer,4,Late Show,,Late Show,Dewy,natural,nude,6,medium,golden_warm,low,skin_tone,0,14,24,16,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Remedy Concealer Pen,Face,Concealer,5,Last Call,,Last Call,Dewy,natural,nude,7,medium_deep,golden_warm,low,skin_tone,0,16,26,18,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Remedy Concealer Pen,Face,Concealer,6,After Hours,,After Hours,Dewy,natural,nude,8,deep,golden_warm,low,skin_tone,0,17,27,19,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Remedy Concealer Pen,Face,Concealer,7,Past Curfew,,Past Curfew,Dewy,natural,nude,9,very_deep,golden_warm,low,skin_tone,0,17,29,22,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,10,Ivory Light,,Ivory Light,Natural to Full Coverage,natural,nude,1,very_fair,neutral_warm,medium,skin_tone,0,8,16,7,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,14,Ivory Medium,,Ivory Medium,Natural to Full Coverage,natural,nude,2,fair,neutral_warm,medium,skin_tone,0,9,17,9,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,22,Bisque Light,,Bisque Light,Natural to Full Coverage,natural,nude,3,light,neutral_warm,medium,skin_tone,0,10,20,9,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,26,Bisque Medium,,Bisque Medium,Natural to Full Coverage,natural,nude,4,light_medium,golden_warm,medium,skin_tone,0,15,25,18,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,32,Beige Light,,Beige Light,Natural to Full Coverage,natural,nude,5,light,golden_warm,medium,skin_tone,0,15,25,6,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,34,Beige Medium,,Beige Medium,Natural to Full Coverage,natural,nude,6,light_medium,golden_warm,medium,skin_tone,0,16,25,8,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,36,Beige Deep,,Beige Deep,Natural to Full Coverage,natural,nude,7,medium,golden_warm,medium,skin_tone,0,16,26,9,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,42,Golden Light,,Golden Light,Natural to Full Coverage,natural,nude,8,light,golden_warm,high,skin_tone,0,15,31,8,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,44,Golden Medium,,Golden Medium,Natural to Full Coverage,natural,nude,9,medium,golden_warm,high,skin_tone,0,17,33,9,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,46,Golden Deep,,Golden Deep,Natural to Full Coverage,natural,nude,10,medium_deep,golden_warm,high,skin_tone,0,17,30,18,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,62,Fawn Light,,Fawn Light,Natural to Full Coverage,natural,nude,11,medium,golden_warm,medium,skin_tone,0,18,30,14,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,64,Fawn Medium,,Fawn Medium,Natural to Full Coverage,natural,nude,12,medium_deep,golden_warm,medium,skin_tone,0,20,33,16,source_provided,FALSE,,mjb_2013.txt
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,66,Fawn Deep,,Fawn Deep,Natural to Full Coverage,natural,nude,13,deep,golden_warm,medium,skin_tone,0,21,35,17,source_provided,FALSE,,mjb_2013.txt
